GDP at current market prices (Million euro),,,,,,,,,,,,,,,,,,
source: nama_10r_2gdp (eurostat) Swiss Federal Statistical Office (FSO) CHF-EURO 1.07 (2015),,,,,,,,,,,,,,,,,,
nuts_2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ES62,15675.77,17085.61,18598.24,20241.24,21757.99,23867.31,25936.66,27989.74,29138.44,27798.25,27985.88,27245.65,26550.22,26482.07,26611.56,28236.27,29115.52,30410.39
ES63,1018.44,1052.88,1110.24,1187.29,1255.41,1329.85,1427.71,1521.35,1573.49,1564.8,1588.83,1584.99,1534.79,1557.81,1548.48,1599.94,1641.45,1662.35
ES64,922,954.13,995.27,1062.74,1133,1209.04,1295.79,1361.38,1411.54,1406.61,1423.18,1425.02,1377.83,1394.46,1402.89,1457.99,1501.67,1527.13
ES70,25962.49,28278.19,30245.92,32434.46,34305.18,36767.56,39248.06,41656.27,42584.14,40696.45,41250.73,41051.13,39803.26,39559.87,39832.02,41150.18,42665.71,44502.72
FI19,30250.42,32840.47,33389.57,34404.26,35520.34,37177.1,38696.46,42385.52,44183.42,41018.99,42531.95,45371.15,45982.22,46037.38,46366.15,47043.05,48039.11,49804.43
FI1B,50241.58,53813.9,54464.75,55016.94,57713.6,60177.73,64105.43,69675.7,72790.89,69996.63,72507.86,74378.39,75033.47,77725.46,78475.89,81769.2,84256.2,86714.15
FI1C,27758.76,28894.69,30119.09,30547.94,32186.77,32959.89,34098.76,36522.26,37419.27,34218.96,34461.78,37230.03,38108.24,38160.53,38696.19,38915.15,40148.79,42208.35
FI1D,27072.22,27813.84,29233.91,30548.08,31973.76,32965.09,34569.4,36830.68,38161.75,34572.71,36372.57,38606.5,39283.09,40008.02,40549.83,40448.23,42252.51,43676.98
FI20,806.12,957.02,976.89,990.45,1021.35,1047.83,1075.38,1098.1,1085.53,1149.3,1148.4,1193.19,1300.84,1341.98,1320.56,1368.26,1356.98,1383.16
FR10,421009,435191,451571,460575,476583,497046,515787,552691,595566,573589,609330,615232,629003,642908,648815,659797,683961.78,709196.69
FR21,31122,31231,31776,32001,34312,34630,35640,37473,37068,34996,35368,37756,36826,37113,37084,36907.99609,36911.08,37108.72
FR22,37649,38805,39719,40799,41709,42723,43811,46018,45700,44077,44967,46374,46843,46977,47007,47363,47626.45,47641.41
FR23,39873,40920,41860,43057,44667,45777,47383,50033,49392,47559,48971,50663,51255,51708,52083,52613.98828,53234.97,53986.93
FR24,53848,55963,57329,58715,61231,62556,64978,67616,66043,64581,65621,67777,68187,68672,68834,69745.01563,70526.18,71492.52
FR25,29298,29958,30955,32065,33643,34324,35740,36984,36898,35834,36504,37885,37601,38030,38155,38569,38905.27,39416.71
FR26,35092,35797,36639,37275,39131,39730,41341,43673,43679,41943,41681,43270,43259,43553,44290,45215.01953,44263.44,44411.59
FR30,77017,79384,82277,84817,88037,90740,95263,99549,101937,98948,99878,103740,103430,104981,106668,109113.9766,109880.34,111507.57
FR41,46980,48661,49821,51036,53371,54348,56237,58117,57111,55338,55059,56508,56083,56562,57208,58314,57456.41,57726.85
FR42,42793,43989,44935,45845,47353,47996,49937,52709,53887,52497,52305,54370,54244,55165,55872,57167.02344,57699.74,59768.1
FR43,24013,25130,25694,26147,27042,27400,28158,29280,29157,28125,28340,29246,28178,28199,28689,29797.96094,29579.68,30394.55
FR51,72099,75963,78643,81298,84600,87677,91239,95791,98133,95281,96624,101912,103149,104828,106568,109291,112121.41,116125.85
FR52,62575,65137,67061,69392,74262,77371,80878,83730,82749,80325,81234,84959,86081,87499,89359,91636,93100.94,96669.24
FR53,33548,34949,36407,37596,39336,40264,41875,44062,43199,42363,43374,45224,46239,46651,47374,48673.97266,48262.66,49402.05
FR61,64267,68413,71151,72834,75591,78718,83236,86709,86057,85500,87692,91772,92823,93032,94244,96414.01563,98915.14,103102.76
FR62,55032,59031,61371,63244,66471,70137,75356,76669,77912,77314,77354,81068,83756,85626,86590,88294.01563,92825.04,95248.69
FR63,14305,14819,15525,15870,16148,16847,17518,18150,17595,17245,16961,17395,17451,17851,17977,18189,18689.65,19382.12
FR71,142091,147760,150735,154702,164555,170023,179932,186986,192796,186383,191681,200461,202300,204503,207864,213603,218819.8,227320.39
FR72,27093,27827,28710,29447,30831,31707,32844,34466,33567,32591,33247,34703,34773,35427,35895,36482.98438,35724.53,35828.32
FR81,43692,46161,47838,50367,53006,55139,58286,60876,62416,61820,62686,65376,65771,65942,66877,68150,69318.15,70877.96
FR82,102588,108098,111289,115464,122204,127972,134473,138798,139127,137094,142969,146121,150173,149816,150867,152769.9844,155382.11,158136.04
FR83,4930,5244,5402,5660,5954,6317,6761,7030,7442,7677,7916,8245,8334,8460,8586,8628,8963.55,9229.77
FRA1,5245,5579,5774,6355,6617,6975,7494,7795,8223,8158,8439,8568,8677,8712,8849,9155,9880.29,10194.76
FRA2,5882,6256,6484,6855,7183,7554,8018,8350,8298,8189,8354,8397,8586,8663,8875,9073,9245.3,9252.38
FRA3,1982,2318,2519,2531,2616,2807,3198,3225,3317,3468,3500,3629,3946,3927,4153,4260,4692.06,4587.11
FRA4,9775,10444,11094,11765,12546,13378,14346,15316,15972,15544,15760,15895,17100,17469,18040,18567,18972.55,19709.54
FRA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2542.69,2900.74
HR03,7311.88,7958.62,8709.22,9719.6,10841.65,11673.27,12707.9,14255.15,15399.6,14317.51,14319.97,14111.05,13931.51,13944.45,13918.08,14272.38,14939.77,15749.68
